
For query : <DOC>


For query : <DOCNO> 1 </DOCNO>
2 Q0 CACM-1463 53 0.2925052859059712 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3119 54 0.2919971553164416 QueryLikelihoodModelStemNoStop
2 Q0 CACM-910 55 0.2913910846101652 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1832 56 0.29044455188197743 QueryLikelihoodModelStemNoStop
2 Q0 CACM-812 57 0.2888997574415082 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3121 58 0.2844637598463911 QueryLikelihoodModelStemNoStop
2 Q0 CACM-413 59 0.28438767997805586 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2122 60 0.2800253599561118 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1794 61 0.2796846741612739 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1095 62 0.2785822971240479 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1468 63 0.27848458735728554 QueryLikelihoodModelStemNoStop
2 Q0 CACM-165 64 0.2750199256798021 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1462 65 0.2725005064597649 QueryLikelihoodModelStemNoStop
2 Q0 CACM-913 66 0.2708423904605161 QueryLikelihoodModelStemNoStop
2 Q0 CACM-916 67 0.2708423904605161 QueryLikelihoodModelStemNoStop
2 Q0 CACM-100 68 0.26954298935437265 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1663 69 0.2693119799545443 QueryLikelihoodModelStemNoStop
2 Q0 CACM-164 70 0.26827751678464345 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1273 71 0.2642729279123366 QueryLikelihoodModelStemNoStop
2 Q0 CACM-14 72 0.2618318212243856 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3123 73 0.26171638878257825 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2155 74 0.26129870752566975 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1464 75 0.2604844135606146 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2151 76 0.2600724570174622 QueryLikelihoodModelStemNoStop
2 Q0 CACM-512 77 0.2553671056970439 QueryLikelihoodModelStemNoStop
2 Q0 CACM-901 78 0.2553671056970439 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1487 79 0.25370003977742384 QueryLikelihoodModelStemNoStop
2 Q0 CACM-199 80 0.25000905712718274 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3122 81 0.24934042844926244 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1720 82 0.24766252182952492 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1592 83 0.2442985784309574 QueryLikelihoodModelStemNoStop
2 Q0 CACM-190 84 0.24375815141446452 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1825 85 0.24129155377525094 QueryLikelihoodModelStemNoStop
2 Q0 CACM-197 86 0.2407497978679235 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1659 87 0.23954976407886155 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2412 88 0.23815232325176436 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2691 89 0.23538286752037452 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1666 90 0.2353638475532907 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1833 91 0.23512178009493415 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2124 92 0.23512178009493415 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1619 93 0.23335869328944508 QueryLikelihoodModelStemNoStop
2 Q0 CACM-912 94 0.2321564428336313 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1520 95 0.22942263325850168 QueryLikelihoodModelStemNoStop
2 Q0 CACM-212 96 0.2250081514144645 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2317 97 0.2249566691813514 QueryLikelihoodModelStemNoStop
2 Q0 CACM-193 98 0.22414698816166556 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1570 99 0.22394504307742205 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1662 100 0.2226253825439843 QueryLikelihoodModelStemNoStop

For query : 


For query : 


For query : What articles exist which deal with TSS (Time Sharing System), an

5 Q0 CACM-2764 1 0.1264079088559727 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2389 2 0.10342811087617473 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2308 3 0.09796513115925415 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1432 4 0.09654823915612068 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1162 5 0.09561087811207455 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2050 6 0.09287797424966322 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1033 7 0.09168659234646875 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1696 8 0.09029136346855192 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1855 9 0.08967690951903175 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1404 10 0.08668296949559565 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2370 11 0.08668296949559565 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1917 12 0.08603756317917038 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3133 13 0.08578109743053616 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1160 14 0.08480162866273598 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1119 15 0.08387459059280859 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1930 16 0.08368691486730886 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2555 17 0.08346315448759321 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2283 18 0.0823505418749806 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2695 19 0.0817342113940878 QueryLikelihoodModelStemNoStop
5 Q0 CACM-655 20 0.08025597070742968 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2812 21 0.07979718151612074 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1885 22 0.07954210798826505 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2947 23 0.07946437012424654 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1305 24 0.07879874734049812 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1529 25 0.07832231013923097 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2433 26 0.07757583814890201 QueryLikelihoodModelStemNoStop
5 Q0 CACM-982 27 0.07753471004515412 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1717 28 0.07723859132489655 QueryLikelihoodModelStemNoStop
5 Q0 CACM-671 29 0.07705152844052947 QueryLikelihoodModelStemNoStop
5 Q0 CACM-630 30 0.07607379262713508 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1032 31 0.07568130134117775 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2886 32 0.07546997710210376 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1959 33 0.07528308357453894 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1035 34 0.07521929154830381 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1253 35 0.0747905353272845 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2808 36 0.0747905353272845 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2154 37 0.07473981505970922 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2437 38 0.0734554165864897 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1267 39 0.07339977675224942 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2003 40 0.07301143894733574 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2737 41 0.07268711028234513 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2979 42 0.07255573737187691 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1989 43 0.07224939360377051 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2020 44 0.07224848789105225 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1928 45 0.07224486504017914 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1226 46 0.07223580791299639 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1571 47 0.07223399648755983 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1837 48 0.07222946792396844 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1921 49 0.07222946792396844 QueryLikelihoodModelStemNoStop
5 Q0 CACM-23 50 0.07222584507309532 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2877 51 0.0716662232851425 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1681 52 0.07125461381756741 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1679 53 0.07125461381756741 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2201 54 0.07105636562048576 QueryLikelihoodModelStemNoStop
5 Q0 CACM-891 55 0.07102017762668214 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2926 56 0.07091995946171023 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1923 57 0.07049007912530787 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1829 58 0.07006574626623278 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1900 59 0.07006574626623277 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3195 60 0.06990153024546235 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2739 61 0.06988064447663252 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3013 62 0.06951225246212266 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1870 63 0.06942743856805639 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2821 64 0.0689520739174498 QueryLikelihoodModelStemNoStop
5 Q0 CACM-409 65 0.06888866358892289 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2609 66 0.06875996283990105 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2795 67 0.06861198479120441 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1261 68 0.06843373260963481 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2276 69 0.06803955864288247 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1344 70 0.06803140722841798 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1517 71 0.06792946772827783 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2288 72 0.06772191902410749 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3033 73 0.06766789021604978 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1034 74 0.06746279302858028 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1623 75 0.06739344589669852 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2937 76 0.0673934458966985 QueryLikelihoodModelStemNoStop
5 Q0 CACM-95 77 0.06725224786296415 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2264 78 0.06713677375903856 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1423 79 0.06693078467296618 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3167 80 0.06692444468393823 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2331 81 0.06667028951753977 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2699 82 0.06618306178686939 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3169 83 0.0661071291915639 QueryLikelihoodModelStemNoStop
5 Q0 CACM-618 84 0.0661071291915639 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1937 85 0.06595470896356312 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2721 86 0.06591854319132283 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1257 87 0.06555708704001428 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1470 88 0.06546341299228656 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1362 89 0.06537943132054909 QueryLikelihoodModelStemNoStop
5 Q0 CACM-3024 90 0.0653611238855626 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2554 91 0.06501811425436553 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1744 92 0.06501086855261932 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1044 93 0.06500633998902794 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2462 94 0.06500271713815484 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2921 95 0.06477450638508132 QueryLikelihoodModelStemNoStop
5 Q0 CACM-1272 96 0.06465718680682954 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2036 97 0.06425958316272234 QueryLikelihoodModelStemNoStop
5 Q0 CACM-696 98 0.0638882294861529 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2648 99 0.06384924855418676 QueryLikelihoodModelStemNoStop
5 Q0 CACM-2809 100 0.06384924855418676 QueryLikelihoodModelStemNoStop

For query : operating system for IBM computers?

6 Q0 CACM-2070 1 0.0812536228508731 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2984 2 0.0796027052873132 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2311 3 0.07858139141132961 QueryLikelihoodModelStemNoStop
6 Q0 CACM-983 4 0.07647421108616723 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1444 5 0.0702775159720165 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1736 6 0.06915346473380415 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1267 7 0.06815693555566019 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1719 8 0.06772644758769888 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1064 9 0.06724409644849966 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1938 10 0.06548030587733646 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1416 11 0.06500724570174622 QueryLikelihoodModelStemNoStop
6 Q0 CACM-275 12 0.06290594294460644 QueryLikelihoodModelStemNoStop
6 Q0 CACM-651 13 0.06290594294460644 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1063 14 0.06290594294460644 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1490 15 0.06290594294460644 QueryLikelihoodModelStemNoStop
6 Q0 CACM-397 16 0.06258314774871508 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1085 17 0.06094021713815483 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2318 18 0.06031742976497996 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1233 19 0.05909815479265531 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1885 20 0.05879199286089156 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2542 21 0.05765177080922455 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1917 22 0.057358375452780254 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3012 23 0.05720996283990105 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1910 24 0.0562581514144645 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2812 25 0.056153572178010897 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1032 26 0.05504094642994745 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1959 27 0.054751333508755586 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1627 28 0.05468104861072617 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2852 29 0.05394733954601407 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2116 30 0.053283217088181546 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3032 31 0.05307571589328834 QueryLikelihoodModelStemNoStop
6 Q0 CACM-239 32 0.05270541984085753 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1315 33 0.05215262312392924 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3134 34 0.051475541874980595 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3137 35 0.0513239408881487 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1482 36 0.05098763785860896 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2583 37 0.050785778563591386 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1516 38 0.050010868552619325 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1505 39 0.0500081514144645 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3136 40 0.049320307667487254 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2407 41 0.04920186916724507 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1591 42 0.04816445097707714 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1276 43 0.0481499595735847 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1827 44 0.04781223190142436 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2798 45 0.04775188725968788 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2065 46 0.04740851331138922 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2479 47 0.04723761933843293 QueryLikelihoodModelStemNoStop
6 Q0 CACM-617 48 0.04699338608353858 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3048 49 0.04644215711934559 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1289 50 0.04643038285400798 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1030 51 0.04610834790732462 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3023 52 0.04535698862376682 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1204 53 0.045351554347457156 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2274 54 0.04506218492855093 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2800 55 0.0449585827759759 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1508 56 0.0448293976323331 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1071 57 0.04461418312628284 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1681 58 0.044534133635979634 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3147 59 0.04432905037080114 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2567 60 0.044252611961672676 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2372 61 0.044252611961672676 QueryLikelihoodModelStemNoStop
6 Q0 CACM-755 62 0.0440750423119157 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2158 63 0.0440714194610426 QueryLikelihoodModelStemNoStop
6 Q0 CACM-618 64 0.0440714194610426 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1926 65 0.043993113820479525 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1680 66 0.04371197039508907 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1457 67 0.04334148474779782 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1226 68 0.04334148474779782 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1304 69 0.04333695618420644 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1360 70 0.043335144758769886 QueryLikelihoodModelStemNoStop
6 Q0 CACM-391 71 0.043335144758769886 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1669 72 0.04286257713345252 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1183 73 0.04276768645832823 QueryLikelihoodModelStemNoStop
6 Q0 CACM-92 74 0.04252970447500924 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1745 75 0.04249271725790173 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1937 76 0.04239945576229058 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2262 77 0.042396738624135746 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1163 78 0.042212320771383594 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1414 79 0.041937295296404296 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1773 80 0.041937295296404296 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1247 81 0.04149751311659215 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1511 82 0.0414920788402825 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1016 83 0.041492078840282484 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2345 84 0.04095937329325621 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1195 85 0.04095212759150999 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1173 86 0.040917242323555404 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3068 87 0.04084856488769786 QueryLikelihoodModelStemNoStop
6 Q0 CACM-3172 88 0.04063315141446449 QueryLikelihoodModelStemNoStop
6 Q0 CACM-39 89 0.04062862285087311 QueryLikelihoodModelStemNoStop
6 Q0 CACM-594 90 0.04062681142543655 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1509 91 0.04062681142543655 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1442 92 0.04062681142543655 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1844 93 0.04037668566583026 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1238 94 0.040317323221126064 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1473 95 0.04021161984331997 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1108 96 0.04001086855261932 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2681 97 0.04000724570174622 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1196 98 0.03991862069078232 QueryLikelihoodModelStemNoStop
6 Q0 CACM-1097 99 0.03979863550550177 QueryLikelihoodModelStemNoStop
6 Q0 CACM-2465 100 0.039798635505501764 QueryLikelihoodModelStemNoStop

For query : 


For query : 


For query : </DOC>


For query : <DOC>


For query : <DOCNO> 2 </DOCNO>

11 Q0 CACM-227 1 0.468016302828929 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2126 2 0.4598318499550527 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2251 3 0.45962098845939897 QueryLikelihoodModelStemNoStop
11 Q0 CACM-229 4 0.44201539711621074 QueryLikelihoodModelStemNoStop
11 Q0 CACM-232 5 0.43753169994513974 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2252 6 0.42939635895688555 QueryLikelihoodModelStemNoStop
11 Q0 CACM-221 7 0.4271636885353775 QueryLikelihoodModelStemNoStop
11 Q0 CACM-224 8 0.42527714809179273 QueryLikelihoodModelStemNoStop
11 Q0 CACM-228 9 0.4250153971162107 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2237 10 0.41601449140349245 QueryLikelihoodModelStemNoStop
11 Q0 CACM-223 11 0.41601449140349245 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2632 12 0.40095820637024815 QueryLikelihoodModelStemNoStop
11 Q0 CACM-1522 13 0.3851996765886776 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2273 14 0.37987905707276 QueryLikelihoodModelStemNoStop
11 Q0 CACM-922 15 0.37501358569077414 QueryLikelihoodModelStemNoStop
11 Q0 CACM-222 16 0.37147204563904873 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2192 17 0.3669988837612472 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2132 18 0.3663917134579029 QueryLikelihoodModelStemNoStop
11 Q0 CACM-3123 19 0.36302595863389886 QueryLikelihoodModelStemNoStop
11 Q0 CACM-225 20 0.3586351810586648 QueryLikelihoodModelStemNoStop
11 Q0 CACM-3122 21 0.3562006120703749 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2626 22 0.3475261014805146 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2629 23 0.34592045979153085 QueryLikelihoodModelStemNoStop
11 Q0 CACM-1328 24 0.34560766018733213 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2726 25 0.3373414836684152 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2271 26 0.33549836237123437 QueryLikelihoodModelStemNoStop
11 Q0 CACM-226 27 0.3348638819646955 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2762 28 0.3329458492353765 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2272 29 0.33167793869713835 QueryLikelihoodModelStemNoStop
11 Q0 CACM-2861 30 0.33002988851970316 QueryLikelihoodModelStemNoStop
